date,container_cpu_cfs_periods_total,container_cpu_cfs_throttled_periods_total,container_cpu_cfs_throttled_seconds_total,container_cpu_load_average_10s,container_cpu_system_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,container_fs_inodes_free,container_fs_inodes_total,container_fs_io_current,container_fs_io_time_seconds_total,container_fs_io_time_weighted_seconds_total,container_fs_limit_bytes,container_fs_read_seconds_total,container_fs_reads_merged_total,container_fs_reads_total,container_fs_sector_reads_total,container_fs_sector_writes_total,container_fs_usage_bytes,container_fs_write_seconds_total,container_fs_writes_merged_total,container_fs_writes_total,container_last_seen,container_memory_cache,container_memory_failcnt,container_memory_failures_total,container_memory_mapped_file,container_memory_max_usage_bytes,container_memory_rss,container_memory_swap,container_memory_usage_bytes,container_memory_working_set_bytes,container_network_receive_bytes_total,container_network_receive_errors_total,container_network_receive_packets_dropped_total,container_network_receive_packets_total,container_network_transmit_bytes_total,container_network_transmit_errors_total,container_network_transmit_packets_dropped_total,container_network_transmit_packets_total,container_oom_events_total,container_spec_cpu_period,container_spec_cpu_quota,container_spec_cpu_shares,container_spec_memory_limit_bytes,container_spec_memory_reservation_limit_bytes,container_spec_memory_swap_limit_bytes,container_start_time_seconds,container_tasks_state,rps
2024-09-14 09:14:30,59.578783,0.000000,0.000000,0.000000,0.006523,0.370344,0.364737,0.000000,240.000000,1.000000,0.000002,0.000001,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,13107.809737,4304896.000000,0.000001,722.472706,962.881873,138102117233.000000,39428096.000000,0.000000,1256.371817,31506432.000000,1086619648.000000,643723264.000000,0.000000,748425216.000000,627683328.000000,18572.680298,0.000000,0.000000,182.985093,20432.106786,0.000000,0.000000,148.917753,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,14.136904
2024-09-14 09:14:45,62.933466,0.000000,0.000000,0.000000,0.013677,0.386612,0.362980,0.000000,240.000000,0.000000,0.000001,0.000001,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,10811.835615,4304896.000000,0.000000,516.413727,852.114796,138102118634.000000,39428096.000000,0.000000,1134.351400,31506432.000000,1092468736.000000,650735616.000000,0.000000,756355072.000000,635613184.000000,19949.382655,0.000000,0.000000,197.058440,21680.460671,0.000000,0.000000,158.224538,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,14.931475
2024-09-14 09:15:00,86.455992,0.000000,0.000000,0.000000,0.013719,0.561016,0.509745,0.000000,240.000000,0.000000,0.000002,0.000001,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,12821.070230,4304896.000000,0.000001,782.984579,865.790477,138102119853.000000,39428096.000000,0.000000,1447.871248,31506432.000000,1099395072.000000,654032896.000000,0.000000,759873536.000000,639131648.000000,26061.610506,0.000000,0.000000,257.966346,26427.472310,0.000000,0.000000,188.626956,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,20.070721
2024-09-14 09:15:15,87.230441,0.000000,0.000000,0.000000,0.013760,0.529812,0.504776,0.000000,240.000000,0.000000,0.000002,0.000001,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,12666.042811,4526080.000000,0.000001,634.783658,892.670079,138102120843.000000,39428096.000000,0.000000,1458.891180,31506432.000000,1106579456.000000,661278720.000000,0.000000,767123456.000000,646381568.000000,25883.977217,0.000000,0.000000,256.353079,26347.773213,0.000000,0.000000,186.661929,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,21.529378
2024-09-14 09:15:30,70.933964,0.000000,0.000000,0.000000,0.015637,0.412956,0.382972,0.000000,240.000000,0.000000,0.000002,0.000001,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,12892.833299,4591616.000000,0.000000,706.887696,957.884473,138102122246.000000,39428096.000000,0.000000,1266.503895,31506432.000000,1109962752.000000,664203264.000000,0.000000,770326528.000000,649584640.000000,21303.609954,0.000000,0.000000,210.016757,22601.520987,0.000000,0.000000,161.606086,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,16.138330
2024-09-14 09:15:45,59.417819,0.000000,0.000000,0.000000,0.007881,0.343349,0.327865,0.000000,240.000000,1.000000,0.000002,0.000000,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,11217.379514,4591616.000000,0.000000,596.473533,824.778399,138102123438.000000,39428096.000000,0.000000,881.255617,31506432.000000,1113686016.000000,666394624.000000,0.000000,772554752.000000,651812864.000000,18730.940381,0.000000,0.000000,185.849356,20589.306904,0.000000,0.000000,150.471825,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,13.933798
2024-09-14 09:16:00,59.720392,0.000000,0.000000,0.000000,0.009356,0.362702,0.369397,0.000000,240.000000,0.000000,0.000002,0.000001,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,12151.662832,4591616.000000,0.000001,560.940240,1012.349757,138102124454.000000,39428096.000000,0.000000,1081.216605,31506432.000000,1117941760.000000,673333248.000000,0.000000,779767808.000000,659025920.000000,18026.312952,0.000000,0.000000,177.180145,19827.568735,0.000000,0.000000,143.013473,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,13.802399
2024-09-14 09:16:15,65.996209,0.000000,0.000000,0.000000,0.008109,0.411727,0.401961,0.000000,240.000000,1.000000,0.000002,0.000000,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,10311.785396,4718592.000000,0.000000,523.951016,758.924620,138102125836.000000,39428096.000000,0.000000,1186.620357,31506432.000000,1124818944.000000,679251968.000000,0.000000,786251776.000000,665509888.000000,20092.315922,0.000000,0.000000,197.689319,21901.272561,0.000000,0.000000,158.874361,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,14.867262
2024-09-14 09:16:30,80.349944,0.000000,0.000000,0.000000,0.008692,0.493040,0.462907,0.000000,240.000000,0.000000,0.000002,0.000001,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,13240.153312,4755456.000000,0.000000,815.094676,900.576520,138102126811.000000,39428096.000000,0.000000,1609.041380,31506432.000000,1134981120.000000,690311168.000000,0.000000,797593600.000000,676851712.000000,24466.908895,0.000000,0.000000,241.533386,25358.892200,0.000000,0.000000,180.766362,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,18.801507
2024-09-14 09:16:45,70.082693,0.000000,0.000000,0.000000,0.007162,0.394136,0.373755,0.000000,240.000000,0.000000,0.000002,0.000001,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,10374.085105,4755456.000000,0.000000,545.931736,834.350270,138102128153.000000,39428096.000000,0.000000,1761.473881,31506432.000000,1147441152.000000,701186048.000000,0.000000,808210432.000000,687468544.000000,20256.467507,0.000000,0.000000,200.684118,21476.224856,0.000000,0.000000,153.350818,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,16.600836
2024-09-14 09:17:00,51.447297,0.000000,0.000000,0.000000,0.003993,0.290497,0.270404,0.000000,240.000000,1.000000,0.000002,0.000001,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,12650.031549,4755456.000000,0.000000,750.349112,857.721516,138102129450.000000,39428096.000000,0.000000,1002.148070,31506432.000000,1153175552.000000,702599168.000000,0.000000,809627648.000000,688885760.000000,16131.125118,0.000000,0.000000,159.493824,17992.493304,0.000000,0.000000,128.293466,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,12.534062
2024-09-14 09:17:15,51.790670,0.000000,0.000000,0.000000,0.003900,0.300400,0.273675,0.000000,240.000000,0.000000,0.000002,0.000001,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,10953.704145,4857856.000000,0.000000,543.510732,867.483886,138102130613.000000,39428096.000000,0.000000,1019.027787,31506432.000000,1160130560.000000,709292032.000000,0.000000,816930816.000000,696188928.000000,16047.410914,0.000000,0.000000,158.907340,17673.980773,0.000000,0.000000,126.612306,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,11.800031
2024-09-14 09:17:30,69.875170,0.000000,0.000000,0.000000,0.019401,0.449776,0.437072,0.000000,240.000000,0.000000,0.000002,0.000001,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,11865.368396,4902912.000000,0.000000,677.741593,807.369556,138102131748.000000,39428096.000000,0.000000,1094.892678,31506432.000000,1164484608.000000,715010048.000000,0.000000,822882304.000000,702140416.000000,22749.906614,0.000000,0.000000,225.044862,23768.054038,0.000000,0.000000,170.518209,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,16.001107
2024-09-14 09:17:45,74.200420,0.000000,0.000000,0.000000,0.011335,0.414675,0.378697,0.000000,240.000000,0.000000,0.000002,0.000001,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,10844.713086,4902912.000000,0.000000,516.781704,878.102103,138102133035.000000,39428096.000000,0.000000,1023.006308,31506432.000000,1166356480.000000,720814080.000000,0.000000,828702720.000000,707960832.000000,21913.944712,0.000000,0.000000,217.344529,22693.051896,0.000000,0.000000,161.583513,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,18.134849
2024-09-14 09:18:00,68.051002,0.000000,0.000000,0.000000,0.011644,0.394464,0.370826,0.000000,240.000000,1.000000,0.000002,0.000001,86488094146560.000000,0.000000,0.000000,0.000000,0.000000,12899.930935,4902912.000000,0.000000,844.128557,778.665654,138102133951.000000,39428096.000000,0.000000,911.884242,31506432.000000,1168449536.000000,725463040.000000,0.000000,833269760.000000,712527872.000000,21256.538269,0.000000,0.000000,211.462582,22730.372092,0.000000,0.000000,165.243343,0.000000,8000000.000000,2000000.000000,8240.000000,10737418240.000000,0.000000,10737418240.000000,138102079202.000000,0.000000,15.594870
